symbol,timestamp,open,high,low,close,volume
SPY,2026-04-07T10:00:00-04:00,654.0312,654.2200,653.3200,653.5050,935954
SPY,2026-04-07T10:05:00-04:00,653.5000,653.5100,651.9200,652.3700,1134955
SPY,2026-04-07T10:10:00-04:00,652.3700,652.8800,652.2900,652.7551,751600
SPY,2026-04-07T10:15:00-04:00,652.7400,653.4600,652.6400,653.2700,984083
SPY,2026-04-07T10:20:00-04:00,653.2600,654.7800,653.2392,654.5000,943211
SPY,2026-04-07T10:25:00-04:00,654.4900,654.5500,653.7300,654.4000,708911
SPY,2026-04-07T10:30:00-04:00,654.4500,655.3400,653.8600,654.6400,819412
SPY,2026-04-07T10:35:00-04:00,654.6500,654.9100,654.0400,654.3700,707314
SPY,2026-04-07T10:40:00-04:00,654.3900,654.5700,653.7599,654.0900,577544
SPY,2026-04-07T10:45:00-04:00,654.0500,655.1400,653.8100,654.0100,667535
SPY,2026-04-07T10:50:00-04:00,654.0291,654.1300,653.3800,653.8151,565657
SPY,2026-04-07T10:55:00-04:00,653.7800,653.7900,652.5500,652.6000,792212
SPY,2026-04-07T11:00:00-04:00,652.5800,652.6900,651.7400,651.8669,1040356
SPY,2026-04-07T11:05:00-04:00,651.8600,651.8600,651.0600,651.4300,870489
SPY,2026-04-07T11:10:00-04:00,651.4200,652.4900,651.4200,652.0700,989798
SPY,2026-04-07T11:15:00-04:00,652.0600,653.8600,651.8200,653.0150,1570385
SPY,2026-04-07T11:20:00-04:00,653.0250,653.0800,652.3900,652.4250,360635
SPY,2026-04-07T11:25:00-04:00,652.4200,653.3100,652.4100,653.2550,301737
SPY,2026-04-07T11:30:00-04:00,653.2600,653.5180,652.7500,653.2600,344250
SPY,2026-04-07T11:35:00-04:00,653.2300,653.7300,652.8000,653.0201,450180
SPY,2026-04-07T11:40:00-04:00,653.0200,653.1700,652.5700,652.6800,954824
SPY,2026-04-07T11:45:00-04:00,652.7300,653.2299,652.6100,652.9909,153660
SPY,2026-04-07T11:50:00-04:00,653.0000,653.4200,652.6400,653.3100,316673
SPY,2026-04-07T11:55:00-04:00,653.3000,654.4000,653.1700,653.8100,752848
SPY,2026-04-07T12:00:00-04:00,653.8200,657.0000,653.8100,655.4300,1668123
SPY,2026-04-07T12:05:00-04:00,655.4100,655.7000,654.6800,654.7800,593795
SPY,2026-04-07T12:10:00-04:00,654.7700,655.4600,654.7000,655.1800,254521
SPY,2026-04-07T12:15:00-04:00,655.1700,655.5400,654.9200,655.1800,265046
SPY,2026-04-07T12:20:00-04:00,655.1700,656.5400,654.8500,655.8100,804016
SPY,2026-04-07T12:25:00-04:00,655.8000,656.4200,655.5900,655.9200,498141
SPY,2026-04-07T12:30:00-04:00,655.8900,656.2800,655.6164,656.2350,307678
SPY,2026-04-07T12:35:00-04:00,656.2400,656.3100,655.3400,655.6000,289202
SPY,2026-04-07T12:40:00-04:00,655.5999,656.0800,655.4500,656.0800,210872
SPY,2026-04-07T12:45:00-04:00,656.0500,656.8700,656.0500,656.4800,307972
SPY,2026-04-07T12:50:00-04:00,656.4700,656.8300,656.3010,656.5400,238439
SPY,2026-04-07T12:55:00-04:00,656.5300,656.5300,656.0100,656.0400,256307
SPY,2026-04-07T13:00:00-04:00,656.0500,656.8800,655.7600,656.6400,494565
SPY,2026-04-07T13:05:00-04:00,656.6400,656.8500,656.3400,656.4650,154311
SPY,2026-04-07T13:10:00-04:00,656.4560,656.6500,656.1401,656.2500,152304
SPY,2026-04-07T13:15:00-04:00,656.2400,656.4628,655.8900,656.0600,231331
SPY,2026-04-07T13:20:00-04:00,656.0700,656.1400,655.4900,655.8300,261134
SPY,2026-04-07T13:25:00-04:00,655.8300,656.0600,655.4800,655.8200,257331
SPY,2026-04-07T13:30:00-04:00,655.8300,656.8500,655.5700,656.7300,413596
SPY,2026-04-07T13:35:00-04:00,656.7600,658.3600,656.7520,657.4400,880790
SPY,2026-04-07T13:40:00-04:00,657.4200,657.4600,656.6800,656.7500,362395
SPY,2026-04-07T13:45:00-04:00,656.7570,656.9100,656.3600,656.8600,225062
SPY,2026-04-07T13:50:00-04:00,656.8750,657.2900,656.7600,656.9800,335494
SPY,2026-04-07T13:55:00-04:00,657.0000,657.0500,656.4800,656.7250,502201
SPY,2026-04-07T14:00:00-04:00,656.7300,657.0200,656.5700,656.6399,255290
SPY,2026-04-07T14:05:00-04:00,656.6350,656.6400,656.1301,656.3400,232766
SPY,2026-04-07T14:10:00-04:00,656.3500,656.5600,656.0900,656.4500,217169
SPY,2026-04-07T14:15:00-04:00,656.4400,656.9100,656.3500,656.8400,235237
SPY,2026-04-07T14:20:00-04:00,656.8300,656.9300,656.1200,656.2150,308901
SPY,2026-04-07T14:25:00-04:00,656.2250,656.4000,656.0300,656.1500,727603
SPY,2026-04-07T14:30:00-04:00,656.1300,656.3400,655.9200,656.1950,302839
SPY,2026-04-07T14:35:00-04:00,656.1800,656.3200,655.7900,655.9800,316547
SPY,2026-04-07T14:40:00-04:00,655.9600,656.0400,655.1520,655.4900,429299
SPY,2026-04-07T14:45:00-04:00,655.4700,655.5100,654.9300,655.0300,595949
SPY,2026-04-07T14:50:00-04:00,655.0200,655.0200,654.1100,654.2100,650625
SPY,2026-04-07T14:55:00-04:00,654.2100,654.2400,653.4301,653.9600,850511
SPY,2026-04-07T15:00:00-04:00,653.9600,654.4400,653.5800,654.0800,722545
SPY,2026-04-07T15:05:00-04:00,654.0800,654.4800,653.4122,653.8000,873921
SPY,2026-04-07T15:10:00-04:00,653.8000,654.5700,653.7500,654.4500,1049797
SPY,2026-04-07T15:15:00-04:00,654.4500,657.5700,654.3300,657.1800,1454420
SPY,2026-04-07T15:20:00-04:00,657.1400,658.1700,656.0500,656.6700,1821051
SPY,2026-04-07T15:25:00-04:00,656.6600,656.8900,655.9300,656.6600,710103
SPY,2026-04-07T15:30:00-04:00,656.6500,656.8100,656.2800,656.4500,666492
SPY,2026-04-07T15:35:00-04:00,656.4400,656.4850,655.9200,656.0415,1511641
SPY,2026-04-07T15:40:00-04:00,656.0500,657.2400,655.8900,656.7900,883987
SPY,2026-04-07T15:45:00-04:00,656.7800,659.2000,656.4400,657.7200,3211401
SPY,2026-04-07T15:50:00-04:00,657.7500,658.8200,657.7000,658.4175,2074707
SPY,2026-04-07T15:55:00-04:00,658.4200,659.6000,658.3600,659.2600,3419789
SPY,2026-04-08T09:30:00-04:00,676.3900,677.0800,675.3800,676.0190,7795786
SPY,2026-04-08T09:35:00-04:00,676.0300,676.2900,675.2100,675.4300,2367856
SPY,2026-04-08T09:40:00-04:00,675.4200,675.6400,674.7500,675.0800,1893993
SPY,2026-04-08T09:45:00-04:00,675.0800,676.4050,674.9900,676.1000,2482286
SPY,2026-04-08T09:50:00-04:00,676.1050,676.1050,674.0200,674.1000,1952333
SPY,2026-04-08T09:55:00-04:00,674.0900,674.9900,673.9700,674.6300,1364561
SPY,2026-04-08T10:00:00-04:00,674.6350,675.2000,674.6000,675.0550,1124620
SPY,2026-04-08T10:05:00-04:00,675.0600,675.2300,674.0600,674.8500,1341856
SPY,2026-04-08T10:10:00-04:00,674.8400,675.1500,674.4600,674.9100,686522
SPY,2026-04-08T10:15:00-04:00,674.9050,675.2700,674.2400,674.6000,1141942
SPY,2026-04-08T10:20:00-04:00,674.6100,675.1800,674.5600,674.7200,911165
SPY,2026-04-08T10:25:00-04:00,674.7300,674.7500,674.0400,674.1300,1472864
SPY,2026-04-08T10:30:00-04:00,674.1300,674.3500,673.4600,673.7300,1853776
SPY,2026-04-08T10:35:00-04:00,673.7400,673.9100,673.1800,673.3200,1394895
SPY,2026-04-08T10:40:00-04:00,673.3209,673.9800,673.2414,673.4000,870158
SPY,2026-04-08T10:45:00-04:00,673.4000,673.6300,672.7500,673.4700,877829
SPY,2026-04-08T10:50:00-04:00,673.5050,673.5200,672.6700,673.0700,632640
SPY,2026-04-08T10:55:00-04:00,673.0799,673.0800,671.4600,672.8800,1573527
SPY,2026-04-08T11:00:00-04:00,672.8700,673.9800,672.8500,673.6500,932224
SPY,2026-04-08T11:05:00-04:00,673.6450,673.7600,672.6400,672.7300,676377
SPY,2026-04-08T11:10:00-04:00,672.7300,673.3499,672.4600,673.1200,1015690
SPY,2026-04-08T11:15:00-04:00,673.1200,673.4600,672.7501,673.4100,402644
SPY,2026-04-08T11:20:00-04:00,673.4200,673.5900,673.0700,673.5200,437693
SPY,2026-04-08T11:25:00-04:00,673.5100,673.5500,672.9600,673.0300,508499
SPY,2026-04-08T11:30:00-04:00,673.0900,673.8300,673.0050,673.7700,440009
SPY,2026-04-08T11:35:00-04:00,673.7900,674.3200,673.6300,674.2300,642997
SPY,2026-04-08T11:40:00-04:00,674.2200,674.2600,673.7700,674.2400,401667
SPY,2026-04-08T11:45:00-04:00,674.2400,674.8700,674.2400,674.7850,1084167
SPY,2026-04-08T11:50:00-04:00,674.7900,675.0800,674.7600,674.8600,509190
SPY,2026-04-08T11:55:00-04:00,674.8800,675.1200,674.8000,674.8900,579297
SPY,2026-04-08T12:00:00-04:00,674.8900,675.6750,674.8701,675.3800,713085
SPY,2026-04-08T12:05:00-04:00,675.3900,675.4500,675.1300,675.1900,528698
SPY,2026-04-08T12:10:00-04:00,675.2050,675.3500,674.8400,674.9000,526928
SPY,2026-04-08T12:15:00-04:00,674.9000,675.1000,674.4800,674.8100,642138
SPY,2026-04-08T12:20:00-04:00,674.8200,675.0500,674.5900,674.8900,371471
SPY,2026-04-08T12:25:00-04:00,674.9000,675.1200,674.7700,675.0200,475700
SPY,2026-04-08T12:30:00-04:00,675.0300,675.4500,674.8900,675.3500,384666
SPY,2026-04-08T12:35:00-04:00,675.3600,675.5100,675.2000,675.5050,336867
SPY,2026-04-08T12:40:00-04:00,675.5100,675.9000,675.4800,675.8700,418711
SPY,2026-04-08T12:45:00-04:00,675.8700,676.1300,675.8100,675.9700,397743
SPY,2026-04-08T12:50:00-04:00,675.9700,676.1100,675.8425,675.9800,443202
SPY,2026-04-08T12:55:00-04:00,675.9800,676.2300,675.9800,676.0530,423213
SPY,2026-04-08T13:00:00-04:00,676.0700,676.4350,676.0300,676.0800,355590
SPY,2026-04-08T13:05:00-04:00,676.0900,676.1097,675.7100,675.8100,413376
SPY,2026-04-08T13:10:00-04:00,675.8100,676.0700,675.7407,675.8700,354872
SPY,2026-04-08T13:15:00-04:00,675.8650,676.0800,675.5500,675.7200,440114
SPY,2026-04-08T13:20:00-04:00,675.7300,675.9200,675.1500,675.2500,680121
SPY,2026-04-08T13:25:00-04:00,675.2600,675.4300,674.7700,675.0100,683419
SPY,2026-04-08T13:30:00-04:00,675.0101,675.4200,674.9600,675.1800,520290
SPY,2026-04-08T13:35:00-04:00,675.1800,675.5500,674.7400,675.2600,1070473
SPY,2026-04-08T13:40:00-04:00,675.2600,675.6900,675.1700,675.5750,661993
SPY,2026-04-08T13:45:00-04:00,675.5700,675.7700,675.3500,675.4101,466654
SPY,2026-04-08T13:50:00-04:00,675.4300,675.7500,675.4300,675.6300,285358
SPY,2026-04-08T13:55:00-04:00,675.6300,675.8900,675.5700,675.8100,712585
SPY,2026-04-08T14:00:00-04:00,675.8000,676.2450,675.3600,676.2200,1180546
SPY,2026-04-08T14:05:00-04:00,676.2200,676.4700,676.1201,676.4450,809520
SPY,2026-04-08T14:10:00-04:00,676.4450,676.4700,676.1300,676.3450,531970
SPY,2026-04-08T14:15:00-04:00,676.3450,676.6050,674.3400,674.8114,1833819
SPY,2026-04-08T14:20:00-04:00,674.7700,675.9400,674.5900,675.0000,1321929
SPY,2026-04-08T14:25:00-04:00,675.0000,675.4100,674.6700,674.8800,797920
SPY,2026-04-08T14:30:00-04:00,674.9000,675.3200,674.7200,674.8450,885946
SPY,2026-04-08T14:35:00-04:00,674.8400,675.0500,674.5100,674.5500,648880
SPY,2026-04-08T14:40:00-04:00,674.5550,674.5900,673.9100,674.0200,928642
SPY,2026-04-08T14:45:00-04:00,674.0100,674.3600,673.7600,673.8294,730646
SPY,2026-04-08T14:50:00-04:00,673.8250,674.2000,673.6700,673.9000,1568753
SPY,2026-04-08T14:55:00-04:00,673.9000,673.9100,672.8300,672.9400,1148392
SPY,2026-04-08T15:00:00-04:00,672.9250,673.6450,672.7800,673.2945,1210930
SPY,2026-04-08T15:05:00-04:00,673.3000,673.8800,673.0900,673.6500,1023327
SPY,2026-04-08T15:10:00-04:00,673.6700,674.4450,673.6600,674.3400,807447
SPY,2026-04-08T15:15:00-04:00,674.3400,674.4900,673.6100,673.8000,860973
SPY,2026-04-08T15:20:00-04:00,673.8100,673.9360,673.3900,673.8100,1202910
SPY,2026-04-08T15:25:00-04:00,673.8100,674.1800,673.4900,673.5400,1146285
SPY,2026-04-08T15:30:00-04:00,673.5400,674.5500,673.4900,674.5400,1015716
SPY,2026-04-08T15:35:00-04:00,674.5400,675.0400,674.3500,674.7900,1618219
